"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","Total: South Africa","I3: Tertiary sector [SIC: 6-9, 0]",6394454.095,3619668.791
"R millions current prices","2019","Total: South Africa","I06: Wholesale and retail trade, catering and accommodation [QSIC 6]",1242317.841,701084.605
"R millions current prices","2019","Total: South Africa","I0615: Wholesale and retail trade [QSIC 61-63]",1072258.618,632247.605
"R millions current prices","2019","Total: South Africa","I061539: Wholesale and retail trade [QSIC 61-63]",1072258.618,632247.605
"R millions current prices","2019","Total: South Africa","I0616: Catering and accommodation services [QSIC 64]",170059.223,68837.0
"R millions current prices","2019","Total: South Africa","I061640: Catering and accommodation services [QSIC 64]",170059.223,68837.0
"R millions current prices","2019","Total: South Africa","I07: Transport, storage and communication [QSIC 7]",1074267.444,417542.315
"R millions current prices","2019","Total: South Africa","I0717: Transport and storage [QSIC 71-74]",690692.083,290494.475
"R millions current prices","2019","Total: South Africa","I071741: Transport and storage [QSIC 71-74]",690692.083,290494.475
"R millions current prices","2019","Total: South Africa","I0718: Communication [QSIC 75]",383575.361,127047.84
"R millions current prices","2019","Total: South Africa","I071842: Communication [QSIC 75]",383575.361,127047.84
"R millions current prices","2019","Total: South Africa","I08: Finance, insurance, real estate and business services [QSIC 8]",2158303.925,1206137.03
"R millions current prices","2019","Total: South Africa","I0819: Finance and insurance [QSIC 81-82]",535309.399,289593.961
"R millions current prices","2019","Total: South Africa","I081943: Finance and insurance [QSIC 81-82]",535309.399,289593.961
"R millions current prices","2019","Total: South Africa","I0820: Business services [QSIC 83-88]",1622994.526,916543.069
"R millions current prices","2019","Total: South Africa","I082044: Professional business services [QSIC 831-883]",1332444.964,764608.34
"R millions current prices","2019","Total: South Africa","I082045: Business activities n.e.c. [QSIC 889]",290549.562,151934.729
"R millions current prices","2019","Total: South Africa","I09: General government [QSIC 91]",703873.052,451550.664
"R millions current prices","2019","Total: South Africa","I0921: General government [QSIC 91]",703873.052,451550.664
"R millions current prices","2019","Total: South Africa","I092146: National and Provincial government [QSIC 911]",549486.374,337547.564
"R millions current prices","2019","Total: South Africa","I092147: Local government [QSIC 913]",154386.678,114003.1
"R millions current prices","2019","Total: South Africa","I10: Community, social and personal services [QSIC 92-96, 99]",1215691.833,843354.177
"R millions current prices","2019","Total: South Africa","I1022: Community, social and personal services [QSIC 92-96, 99]",1215691.833,843354.177
"R millions current prices","2019","Total: South Africa","I102248: Education (Private) [QSIC 92]",492557.622,381924.093
"R millions current prices","2019","Total: South Africa","I102249: Health and social work (Private) [QSIC 93]",434547.301,267623.537
"R millions current prices","2019","Total: South Africa","I102250: Other community, social and personal services [QSIC 94-96, 99]",288586.91,193806.547
"R millions current prices","2019","P1: Western Cape","Total",1548723.257,701659.659
"R millions current prices","2019","P1: Western Cape","I1: Primary sector [SIC: 1-2]",79016.382,25613.06
"R millions current prices","2019","P1: Western Cape","I01: Agriculture, forestry and fishing [QSIC 1]",73472.769,23971.739
"R millions current prices","2019","P1: Western Cape","I0101: Agriculture, forestry and fishing [QSIC 1]",73472.769,23971.739
"R millions current prices","2019","P1: Western Cape","I010101: Agriculture [QSIC 11]",56216.461,15329.494
"R millions current prices","2019","P1: Western Cape","I010102: Forestry [QSIC 12]",1298.841,394.992
"R millions current prices","2019","P1: Western Cape","I010103: Fishing [QSIC 13]",15957.467,8247.253
"R millions current prices","2019","P1: Western Cape","I02: Mining and quarrying [QSIC 2]",5543.613,1641.321
"R millions current prices","2019","P1: Western Cape","I0202: Mining and quarrying [QSIC 2]",5543.613,1641.321
"R millions current prices","2019","P1: Western Cape","I020204: Coal [QSIC 21]",0.0,0.0
"R millions current prices","2019","P1: Western Cape","I020205: Gold [QSIC 23]",0.0,0.0
"R millions current prices","2019","P1: Western Cape","I020206: Metals [QSIC 24]",230.52,94.872
"R millions current prices","2019","P1: Western Cape","I020207: Other mining and quarrying [22, 25-29]",5313.093,1546.449
"R millions current prices","2019","P1: Western Cape","I2: Secondary sector [SIC: 3-5]",522555.282,157456.427
"R millions current prices","2019","P1: Western Cape","I03: Manufacturing [QSIC 3]",385585.506,106523.492
"R millions current prices","2019","P1: Western Cape","I0303: Food, beverages and tobacco [QSIC 30]",103287.165,29764.739
"R millions current prices","2019","P1: Western Cape","I030308: Food [QSIC 301-304]",71843.524,16807.894
"R millions current prices","2019","P1: Western Cape","I030309: Beverages and tobacco [QSIC 305-306]",31443.641,12956.845
"R millions current prices","2019","P1: Western Cape","I0304: Textiles, clothing and leather goods [QSIC 31]",18030.755,5874.679
"R millions current prices","2019","P1: Western Cape","I030410: Textiles [QSIC 311-312]",5897.211,2210.871
"R millions current prices","2019","P1: Western Cape","I030411: Wearing apparel [QSIC 313-315]",9632.781,3076.396
"R millions current prices","2019","P1: Western Cape","I030412: Leather and leather products [QSIC 316]",1142.411,241.577
"R millions current prices","2019","P1: Western Cape","I030413: Footwear [QSIC 317]",1358.352,345.835
"R millions current prices","2019","P1: Western Cape","I0305: Wood and paper; publishing and printing [QSIC 32]",35802.072,12367.62
"R millions current prices","2019","P1: Western Cape","I030514: Wood and wood products [QSIC 321-322]",5132.836,1578.509
"R millions current prices","2019","P1: Western Cape","I030515: Paper and paper products [QSIC 323]",13166.449,4663.756
"R millions current prices","2019","P1: Western Cape","I030516: Printing , recorded media [QSIC 324-326]",17502.787,6125.355
"R millions current prices","2019","P1: Western Cape","I0306: Petroleum products, chemicals, rubber and plastic [QSIC 33]",83302.712,20157.859
"R millions current prices","2019","P1: Western Cape","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]",42840.717,9290.145
"R millions current prices","2019","P1: Western Cape","I030618: Basic chemicals [QSIC 334]",12360.348,2530.57
"R millions current prices","2019","P1: Western Cape","I030619: Other chemical products [QSIC 335-336]",15932.677,4958.092
"R millions current prices","2019","P1: Western Cape","I030620: Rubber products [QSIC 337]",2037.983,450.836
"R millions current prices","2019","P1: Western Cape","I030621: Plastic products [QSIC 338]",10130.987,2928.216
"R millions current prices","2019","P1: Western Cape","I0307: Other non-metal mineral products [QSIC 34]",9157.745,2626.551
"R millions current prices","2019","P1: Western Cape","I030722: Glass and glass products [QSIC 341]",1933.757,621.543
"R millions current prices","2019","P1: Western Cape","I030723: Non-metallic mineral products [QSIC 342]",7223.988,2005.008
"R millions current prices","2019","P1: Western Cape","I0308: Metals, metal products, machinery and equipment [QSIC 35]",50138.405,14149.493
"R millions current prices","2019","P1: Western Cape","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",7328.028,1519.722
"R millions current prices","2019","P1: Western Cape","I030825: Non-ferrous metal products [QSIC 352]",7322.934,1132.079
"R millions current prices","2019","P1: Western Cape","I030826: Structural metal products [QSIC 354]",4838.589,1442.778
"R millions current prices","2019","P1: Western Cape","I030827: Other fabricated metal products [QSIC 355]",11259.276,3616.974
"R millions current prices","2019","P1: Western Cape","I030828: Machinery and equipment [QSIC 356-359]",19389.578,6437.94
