"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-11"
"Data Set: IIOT—SA Standardised Industry Input and Output Structure at basic prices"
"Source: Quantec"
"Frequency: Annual"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Input","","","Intermediate Input: Agriculture [QSIC 11]","Intermediate Input: Forestry [QSIC 12]","Intermediate Input: Fishing [QSIC 13]","Intermediate Input: Coal [QSIC 21]","Intermediate Input: Gold [QSIC 23]","Intermediate Input: Metals [QSIC 24]","Intermediate Input: Other mining and quarrying [22, 25-29]","Intermediate Input: Food [QSIC 301-304]","Intermediate Input: Beverages and tobacco [QSIC 305-306]","Intermediate Input: Textiles [QSIC 311-312]","Intermediate Input: Wearing apparel [QSIC 313-314]","Intermediate Input: Leather and leather and fur products [QSIC 315-316]","Intermediate Input: Footwear [QSIC 317]","Intermediate Input: Wood and wood products [QSIC 321-322]","Intermediate Input: Paper and paper products [QSIC 323]","Intermediate Input: Printing , recorded media [QSIC 324-326]","Intermediate Input: Coke, petroleum products and nuclear fuel [QSIC 331-333]","Intermediate Input: Basic chemicals [QSIC 334]","Intermediate Input: Other chemical products [QSIC 335-336]","Intermediate Input: Rubber products [QSIC 337]","Intermediate Input: Plastic products [QSIC 338]","Intermediate Input: Glass and glass products [QSIC 341]","Intermediate Input: Non-metallic mineral products [QSIC 342]","Intermediate Input: Basic iron and steel products; casting of metal [QSIC 351, 353]","Intermediate Input: Non-ferrous metal products [QSIC 352]","Intermediate Input: Structural metal products [QSIC 354]","Intermediate Input: Other fabricated metal products [QSIC 355]","Intermediate Input: Machinery and equipment [QSIC 356-359]","Intermediate Input: Electrical machinery [QSIC 361-366]","Intermediate Input: Radio, television and communication apparatus [QSIC 371-373]","Intermediate Input: Professional equipment [QSIC 374-376]","Intermediate Input: Motor vehicles, parts and accessories [QSIC 381-383]","Intermediate Input: Other transport equipment [QSIC 384-387]","Intermediate Input: Furniture [QSIC 391]","Intermediate Input: Other manufacturing groups [QSIC 392 - 395]","Intermediate Input: Electricity and gas [QSIC 41]","Intermediate Input: Water [QSIC 42]","Intermediate Input: Construction [QSIC 5]","Intermediate Input: Wholesale and retail trade [QSIC 61-63]","Intermediate Input: Catering and accommodation services [QSIC 64]","Intermediate Input: Transport and storage [QSIC 71-74]","Intermediate Input: Communication [QSIC 75]","Intermediate Input: Finance and insurance [QSIC 81-82]","Intermediate Input: Professional business services [QSIC 831-883]","Intermediate Input: Business activities n.e.c. [QSIC 889]","Intermediate Input: National and Provincial government [QSIC 911]","Intermediate Input: Local government [QSIC 913]","Intermediate Input: Education (Private) [QSIC 92]","Intermediate Input: Health and social work (Private) [QSIC 93]","Intermediate Input: Other community, social and personal services [QSIC 94-96, 99]"
"Unit","Date","Output","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rand million: Current prices","2024","Intermediate Output: Agriculture [QSIC 11]",57076.66051664708,"",1526.618469603922,375.0255871221808,"",633.3282269649026,340.2484116449378,26864.08993473256,"",215.7579040689362,56.98596082163478,"","",8618.966330861493,2209.24442660079,740.3294128589373,17542.5972567322,13684.56757999277,6696.715797949959,1341.159759127167,4529.893536291223,728.1380313881358,2738.201027249109,2195.262890154638,2212.04469312059,135.6446710369187,635.0017137015727,342.08839498912755,"","","",279.71104374118914,68.75265335899903,140.4836483112263,1754.98171205497,13811.34539459957,1147.295969962188,573.0460388801328,42990.47752563387,"",18002.255104006166,2265.393954512992,6464.473651061921,41641.77089767599,13974.44709337085,"","","",779.6470394925686,444.43615173314095
"Rand million: Current prices","2024","Intermediate Output: Forestry [QSIC 12]",92.79327680559685,3598.894149724347,"",18.5281848109439,"",30.178227043608,17.3184604810381,20.53459054315384,"",6.071243057695871,208.03056041741655,"","",64.93622119256747,115.0089449085359,34.71712719876489,946.1992882448232,544.3696815596816,258.4125421903075,4.22763340630652,108.3812818317631,43.5035964608383,"",2.73786100484957,83.31806656164794,21.086854616199,213.5635560587489,1429.6879987503662,"","","",22.62622190359895,28.385219147578,"",175.4774018484889,"","","",2088.8560290100268,25.95180218000662,891.2151109679961,38.4439390171911,194.30967073797007,187.6653354873608,27.46081518938951,"","",154.2377239916876,"",31.94940809188964
"Rand million: Current prices","2024","Intermediate Output: Fishing [QSIC 13]",2.576054653401458,"",2879.699603403262,16.07666886431646,"",2.050315305572035,2.491522652271607,"","","",3.114198499129379,"","",39.47682419076492,45.28533011544847,9.986399243967591,381.239669434153,5.572705724983997,6.122824457492359,"",21.10916092187524,20.36550955088234,2.401760930332635,19.0787347288075,10.80819444938967,512.5744631110873,255.8764348420544,58.80481120528839,4.358189021574335,"","",16.0086307607559,28.49132838516506,9.0992138284001,54.28196584695687,38.93784598941451,2.736032575573318,9.484006603275963,1183.6785069565412,7.583464655337813,308.3136840431353,16.69289181682559,130.85223318218934,167.11582551339615,68.39414351382948,18.745950721749868,8.653520430496632,23.11014939962661,3.143624350340143,47.22393621182718
"Rand million: Current prices","2024","Intermediate Output: Coal [QSIC 21]",35.72687405445416,"","",1309.67193796807,88.0984003469116,590.112319971881,"",107.0870202942047,"","",297.508734758025,"","",540.6703281270738,"",589.0458712842367,8036.783627364537,237.5150667199188,129.5809025625628,196.7325542064048,158.3485282400279,44.19671647726443,"",133.1847683543812,478.9424507724559,293.7985852509764,2422.038337255483,1259.8323227695605,556.1360392939686,3.056636824622016,4.533727362904607,79.02866519011786,74.96388215161701,30.67342276065114,512.6560979723888,2604.931025329181,164.000793718989,1860.8836756708895,9080.028293412915,686.3098392361887,16992.234460264797,363.5800471083893,965.4128169128936,6706.495304811956,3137.834595489913,1560.717079130445,720.4594384647817,500.423621582325,2862.081796894242,2722.897398135098
"Rand million: Current prices","2024","Intermediate Output: Gold [QSIC 23]",46.08938101863138,"","","",2831.383849816897,524.3951010871118,"",74.62003345190995,"","",153.6887996595829,"","",1779.1744620406462,"",782.5495096986826,6180.744276814667,1165.692601221813,180.5906486623331,386.7882949680219,243.887004158882,92.05793255466271,"",344.049511213008,454.3235877929264,393.9987709478912,3763.782776747511,5427.020766105844,899.0263238720847,"",3.938382205742577,106.94765870854587,127.2511427722895,40.59842471105563,955.5859645500236,13046.09243581256,1343.522528412317,3194.284374633844,10691.82113060517,136.3940197239762,4231.90614776446,298.9145581155465,628.1813352381233,10770.331066700865,5149.573516517573,2775.7801437621656,1281.357800473864,1005.55899531988,5004.873339670595,8685.125757226528
"Rand million: Current prices","2024","Intermediate Output: Metals [QSIC 24]",394.6366826240678,"","","",232.41160148478912,14473.95851281999,"",519.4789990610109,"","",341.0946500254804,"","",3929.3027434725705,133.67291748203763,1738.4772354750462,21375.26899650249,17670.69575056572,1852.5524863352848,798.8663281561395,669.8448748457555,554.6213990750083,"",1350.9361209982328,2493.7138966451075,1350.1720965544018,8851.60976859615,11640.006205368703,4656.5377726116185,50.30993561383532,11.257936997162396,369.93683501897584,232.14601177838463,95.15513057130266,2285.2349609309067,18960.05764113759,890.700052653247,9669.455168794517,32390.74229525441,286.9979288093843,23720.14575846151,642.8776563002626,2312.408515429439,31134.950957007663,17195.64870597157,7075.581953651382,3266.235674168045,915.2371104364266,12920.30713606108,6496.146180552434
"Rand million: Current prices","2024","Intermediate Output: Other mining and quarrying [22, 25-29]",43.24987422857584,"","","",86.49123949966051,930.5635348973505,1416.62790070667,86.97962715075566,"","",85.00970430749703,"","",199.31028861657376,108.5055119058065,391.908920871767,6364.368172265305,362.2715759090504,111.7767354792308,100.6071345911239,71.21572424334354,43.89476717910718,"",136.6029613373007,399.6105087834115,858.3284633515543,1359.556656977441,1549.8747593607482,227.86789590663383,7.316528926435353,3.178212611655667,102.9035529210132,60.78105234553473,31.89759988863716,349.7967746802767,3289.884316738859,242.1162454618264,883.9343624181762,7028.459687124017,462.4055820656471,7258.030830577221,395.3841424788543,1128.4134339990767,4443.95648555062,1842.287495640423,781.6137221589884,360.8091376028107,1285.007611084747,1430.633265547075,1990.544527329787
"Rand million: Current prices","2024","Intermediate Output: Food [QSIC 301-304]",135519.3951467052,"",2778.268176657158,590.3807566939282,"",119.45798176283296,223.00372795908208,78582.6471398361,3369.2173173489155,297.574655523225,8.009013310990126,33.88160963382745,"",468.46639670435616,4850.148003913528,775.4120801495004,3833.2991622880354,248.25855170581923,1313.7950195880796,"",5429.514611091707,664.6799639908459,23.0261939841292,6.526264337778637,341.4402916087685,326.4441019980072,2975.605608430957,371.05751181774735,"","","",473.3475624031367,"","",2176.128997828998,3734.5659354400696,498.944716261875,554.0315277497607,62511.44676004748,140.67996355342882,21593.72495092132,1349.4359700335365,1731.8597831058628,10141.187780934892,3452.992869126785,958.9015071567356,452.6500476592975,416.4127375146203,126.82292892049276,557.0125297877426
"Rand million: Current prices","2024","Intermediate Output: Beverages and tobacco [QSIC 305-306]",11417.924599023689,"","",57.78307036068016,"",7.211892192785752,38.71933944070341,12320.684729024826,14313.59962784142,"","","","",149.86018832796924,1193.592948001193,197.58281349768623,1444.6474820251926,335.8467449128144,203.09285815819277,"",1798.9553844880843,1936.483966779362,"",23.02058198008444,168.8180506852641,261.0829827277442,2030.87713201535,114.39173944744016,"","","",128.0682525879611,"","",712.1539345818845,477.3205309031489,1136.1063875741418,270.1168471364565,20734.614790584143,240.5426749520861,6439.21292457824,363.175801448503,2506.6091826102997,6273.76696646025,2285.177764681569,279.95718351599226,129.23405396607183,532.1948481390165,132.64774170759665,198.5023600322313
