"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RLQT—Location quotient for GVA at basic prices by 2016 municipality/ward-based metro region"
"Source: Quantec"
"Frequency: Annual"
"","","","","","",""
"Concept","","","","Location quotient relative to District Municipality","Location quotient relative to Province","Location quotient relative to National"
"Unit","Date","Geography","Industry","","",""
"Index","2019","P5D05: Amajuba (DC25)","I030619: Other chemical products [QSIC 335-336]","",1.00182747529652,1.22051880328762
"Index","2019","P5D05: Amajuba (DC25)","I030620: Rubber products [QSIC 337]","",0.86127155533045,1.10491969003364
"Index","2019","P5D05: Amajuba (DC25)","I030621: Plastic products [QSIC 338]","",0.77875956071896,1.20264968127877
"Index","2019","P5D05: Amajuba (DC25)","I030722: Glass and glass products [QSIC 341]","",0.92730718208023,0.66312694166372
"Index","2019","P5D05: Amajuba (DC25)","I030723: Non-metallic mineral products [QSIC 342]","",0.85432705957465,0.74508442131417
"Index","2019","P5D05: Amajuba (DC25)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","",3.53459158043055,2.90205257795545
"Index","2019","P5D05: Amajuba (DC25)","I030825: Non-ferrous metal products [QSIC 352]","",0.47092649708834,0.90109896765977
"Index","2019","P5D05: Amajuba (DC25)","I030826: Structural metal products [QSIC 354]","",1.29270849182894,1.38875627459714
"Index","2019","P5D05: Amajuba (DC25)","I030827: Other fabricated metal products [QSIC 355]","",1.24002480838322,1.17729413120049
"Index","2019","P5D05: Amajuba (DC25)","I030828: Machinery and equipment [QSIC 356-359]","",0.93027681882106,0.83090172903859
"Index","2019","P5D05: Amajuba (DC25)","I030929: Electrical machinery [QSIC 361-366]","",0.91906375711411,0.72413993700936
"Index","2019","P5D05: Amajuba (DC25)","I031030: Radio, television and communication apparatus [QSIC 371-373]","",0.67584669526293,0.53388798008333
"Index","2019","P5D05: Amajuba (DC25)","I031031: Professional equipment [QSIC 374-376]","",0.90840458005465,0.79681905779138
"Index","2019","P5D05: Amajuba (DC25)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","",0.84800707572195,0.95665211049904
"Index","2019","P5D05: Amajuba (DC25)","I031133: Other transport equipment [QSIC 384-387]","",0.68478290465978,0.58842441766822
"Index","2019","P5D05: Amajuba (DC25)","I031234: Furniture [QSIC 391]","",0.71925247500729,0.96324710239988
"Index","2019","P5D05: Amajuba (DC25)","I031235: Other manufacturing groups [QSIC 392, 395]","",1.09405493319118,1.11375800834976
"Index","2019","P5D05: Amajuba (DC25)","I041336: Electricity and gas [QSIC 41]","",1.15272753221212,0.96977678100913
"Index","2019","P5D05: Amajuba (DC25)","I041337: Water [QSIC 42]","",0.53029586278016,0.77196440055751
"Index","2019","P5D05: Amajuba (DC25)","I051438: Construction [QSIC 5]","",0.94834936501379,1.02528463122647
"Index","2019","P5D05: Amajuba (DC25)","I061539: Wholesale and retail trade [QSIC 61-63]","",1.04880197742666,1.03374032453963
"Index","2019","P5D05: Amajuba (DC25)","I061640: Catering and accommodation services [QSIC 64]","",0.89335251807699,0.82074937317117
"Index","2019","P5D05: Amajuba (DC25)","I071741: Transport and storage [QSIC 71-74]","",0.96626928744405,1.42408360994185
"Index","2019","P5D05: Amajuba (DC25)","I071842: Communication [QSIC 75]","",1.02950433261116,0.88408410511716
"Index","2019","P5D05: Amajuba (DC25)","I081943: Finance and insurance [QSIC 81-82]","",0.8281451016802,0.53296136718436
"Index","2019","P5D05: Amajuba (DC25)","I082044: Professional business services [QSIC 831-883]","",0.75501266986552,0.61420919793737
"Index","2019","P5D05: Amajuba (DC25)","I082045: Business activities n.e.c. [QSIC 889]","",1.015216510027,0.91543426836018
"Index","2019","P5D05: Amajuba (DC25)","I092146: National and Provincial government [QSIC 911]","",0.88804219302589,0.79342266999319
"Index","2019","P5D05: Amajuba (DC25)","I092147: Local government [QSIC 913]","",0.85080084909129,0.75157484081663
"Index","2019","P5D05: Amajuba (DC25)","I102248: Education (Private) [QSIC 92]","",0.8927193240254,1.15602888978982
"Index","2019","P5D05: Amajuba (DC25)","I102249: Health and social work (Private) [QSIC 93]","",0.92213562912184,1.22731659328869
"Index","2019","P5D05: Amajuba (DC25)","I102250: Other community, social and personal services [QSIC 94-96, 99]","",0.97201599436775,1.13390179069478
"Index","2019","P5D06: Zululand (DC26)","I010101: Agriculture [QSIC 11]","",1.80797572607007,3.10908467732354
"Index","2019","P5D06: Zululand (DC26)","I010102: Forestry [QSIC 12]","",2.73664345878251,7.78913222558244
"Index","2019","P5D06: Zululand (DC26)","I010103: Fishing [QSIC 13]","",0.0340846769942,0.01653359232579
"Index","2019","P5D06: Zululand (DC26)","I020204: Coal [QSIC 21]","",9.02465371221676,4.74507061080559
"Index","2019","P5D06: Zululand (DC26)","I020205: Gold [QSIC 23]","",28.7662438305931,0.51891322227314
"Index","2019","P5D06: Zululand (DC26)","I020206: Metals [QSIC 24]","",19.9083991940612,0.17022024939789
"Index","2019","P5D06: Zululand (DC26)","I020207: Other mining and quarrying [22, 25-29]","",1.8159623818227,1.88325626332907
"Index","2019","P5D06: Zululand (DC26)","I030308: Food [QSIC 301-304]","",0.84126657035237,1.15943274105531
"Index","2019","P5D06: Zululand (DC26)","I030309: Beverages and tobacco [QSIC 305-306]","",0.73325598116219,0.51740724132197
"Index","2019","P5D06: Zululand (DC26)","I030410: Textiles [QSIC 311-312]","",0.28298794762418,0.50840912907937
"Index","2019","P5D06: Zululand (DC26)","I030411: Wearing apparel [QSIC 313-315]","",0.3272292153184,0.70971729881356
"Index","2019","P5D06: Zululand (DC26)","I030412: Leather and leather products [QSIC 316]","",0.17196868316861,0.25556082214428
"Index","2019","P5D06: Zululand (DC26)","I030413: Footwear [QSIC 317]","",0.18221544698761,0.58615042295664
"Index","2019","P5D06: Zululand (DC26)","I030514: Wood and wood products [QSIC 321-322]","",1.48982418201539,2.23875182812439
"Index","2019","P5D06: Zululand (DC26)","I030515: Paper and paper products [QSIC 323]","",0.24293998818805,0.54202146713365
"Index","2019","P5D06: Zululand (DC26)","I030516: Printing , recorded media [QSIC 324-326]","",0.42796279839217,0.48442694581688
"Index","2019","P5D06: Zululand (DC26)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","",0.49870891401391,0.42766363610454
"Index","2019","P5D06: Zululand (DC26)","I030618: Basic chemicals [QSIC 334]","",0.26051238394896,0.35826303027601
"Index","2019","P5D06: Zululand (DC26)","I030619: Other chemical products [QSIC 335-336]","",0.39755865885103,0.48434269422874
"Index","2019","P5D06: Zululand (DC26)","I030620: Rubber products [QSIC 337]","",0.36869345825768,0.47299444535726
"Index","2019","P5D06: Zululand (DC26)","I030621: Plastic products [QSIC 338]","",0.46743414472445,0.7218653272811
"Index","2019","P5D06: Zululand (DC26)","I030722: Glass and glass products [QSIC 341]","",0.44282525014359,0.31666890917468
"Index","2019","P5D06: Zululand (DC26)","I030723: Non-metallic mineral products [QSIC 342]","",0.45059777793107,0.3929799259576
"Index","2019","P5D06: Zululand (DC26)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","",0.4234253354467,0.34765051586386
"Index","2019","P5D06: Zululand (DC26)","I030825: Non-ferrous metal products [QSIC 352]","",0.06167939954083,0.11802105762949
"Index","2019","P5D06: Zululand (DC26)","I030826: Structural metal products [QSIC 354]","",0.3899841795733,0.4189598658935
"Index","2019","P5D06: Zululand (DC26)","I030827: Other fabricated metal products [QSIC 355]","",0.50954298746063,0.48376610264266
"Index","2019","P5D06: Zululand (DC26)","I030828: Machinery and equipment [QSIC 356-359]","",0.22499402356056,0.20095945574215
"Index","2019","P5D06: Zululand (DC26)","I030929: Electrical machinery [QSIC 361-366]","",0.271331442543,0.21378487856893
"Index","2019","P5D06: Zululand (DC26)","I031030: Radio, television and communication apparatus [QSIC 371-373]","",0.3397875240539,0.26841660415914
"Index","2019","P5D06: Zululand (DC26)","I031031: Professional equipment [QSIC 374-376]","",0.22948610728836,0.20129676556091
"Index","2019","P5D06: Zululand (DC26)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","",0.28885323117391,0.32586055133058
"Index","2019","P5D06: Zululand (DC26)","I031133: Other transport equipment [QSIC 384-387]","",0.32390445978483,0.27832659348253
"Index","2019","P5D06: Zululand (DC26)","I031234: Furniture [QSIC 391]","",0.21189479751156,0.28377663867553
"Index","2019","P5D06: Zululand (DC26)","I031235: Other manufacturing groups [QSIC 392, 395]","",0.53366777498319,0.54327871494717
"Index","2019","P5D06: Zululand (DC26)","I041336: Electricity and gas [QSIC 41]","",0.78694611122071,0.66204896234476
"Index","2019","P5D06: Zululand (DC26)","I041337: Water [QSIC 42]","",1.16162038795827,1.69099864698991
"Index","2019","P5D06: Zululand (DC26)","I051438: Construction [QSIC 5]","",0.81101999297781,0.87681435248861
"Index","2019","P5D06: Zululand (DC26)","I061539: Wholesale and retail trade [QSIC 61-63]","",0.82363991533907,0.81181177353944
"Index","2019","P5D06: Zululand (DC26)","I061640: Catering and accommodation services [QSIC 64]","",0.99842202585993,0.91727983668615
"Index","2019","P5D06: Zululand (DC26)","I071741: Transport and storage [QSIC 71-74]","",0.82980570801445,1.22296416079352
"Index","2019","P5D06: Zululand (DC26)","I071842: Communication [QSIC 75]","",0.57093922296522,0.49029253789662
"Index","2019","P5D06: Zululand (DC26)","I081943: Finance and insurance [QSIC 81-82]","",0.73046196836637,0.47009637386837
"Index","2019","P5D06: Zululand (DC26)","I082044: Professional business services [QSIC 831-883]","",0.66423384280599,0.54035985370338
"Index","2019","P5D06: Zululand (DC26)","I082045: Business activities n.e.c. [QSIC 889]","",0.85197256043125,0.76823502161188
"Index","2019","P5D06: Zululand (DC26)","I092146: National and Provincial government [QSIC 911]","",1.51330157915314,1.35206163498314
"Index","2019","P5D06: Zululand (DC26)","I092147: Local government [QSIC 913]","",1.01038793944845,0.89254983180269
"Index","2019","P5D06: Zululand (DC26)","I102248: Education (Private) [QSIC 92]","",1.70061616285011,2.2022167122287
"Index","2019","P5D06: Zululand (DC26)","I102249: Health and social work (Private) [QSIC 93]","",1.0851361476548,1.44426216484271
"Index","2019","P5D06: Zululand (DC26)","I102250: Other community, social and personal services [QSIC 94-96, 99]","",1.00470916652977,1.17203989405194
"Index","2019","P5D07: Umkhanyakude (DC27)","I010101: Agriculture [QSIC 11]","",1.61016196342804,2.76891432573873
"Index","2019","P5D07: Umkhanyakude (DC27)","I010102: Forestry [QSIC 12]","",2.54570304706505,7.24567081510844
"Index","2019","P5D07: Umkhanyakude (DC27)","I010103: Fishing [QSIC 13]","",1.7230917789783,0.83582710842184
"Index","2019","P5D07: Umkhanyakude (DC27)","I020204: Coal [QSIC 21]","",1.67076081480682,0.87846894660273
"Index","2019","P5D07: Umkhanyakude (DC27)","I020205: Gold [QSIC 23]","",0.0,0.0
"Index","2019","P5D07: Umkhanyakude (DC27)","I020206: Metals [QSIC 24]","",0.0,0.0
"Index","2019","P5D07: Umkhanyakude (DC27)","I020207: Other mining and quarrying [22, 25-29]","",2.12554782853439,2.20431397762497
"Index","2019","P5D07: Umkhanyakude (DC27)","I030308: Food [QSIC 301-304]","",0.63326087311766,0.87275949835301
"Index","2019","P5D07: Umkhanyakude (DC27)","I030309: Beverages and tobacco [QSIC 305-306]","",0.40193997762663,0.28362080957211
"Index","2019","P5D07: Umkhanyakude (DC27)","I030410: Textiles [QSIC 311-312]","",0.03609525692416,0.06484784348866
"Index","2019","P5D07: Umkhanyakude (DC27)","I030411: Wearing apparel [QSIC 313-315]","",0.13779641132094,0.2988623639052
"Index","2019","P5D07: Umkhanyakude (DC27)","I030412: Leather and leather products [QSIC 316]","",0.0,0.0
"Index","2019","P5D07: Umkhanyakude (DC27)","I030413: Footwear [QSIC 317]","",0.0,0.0
"Index","2019","P5D07: Umkhanyakude (DC27)","I030514: Wood and wood products [QSIC 321-322]","",0.53846361567779,0.80914675605975
"Index","2019","P5D07: Umkhanyakude (DC27)","I030515: Paper and paper products [QSIC 323]","",0.36358622047898,0.81119431232149
"Index","2019","P5D07: Umkhanyakude (DC27)","I030516: Printing , recorded media [QSIC 324-326]","",0.18187874173656,0.20587528565443
"Index","2019","P5D07: Umkhanyakude (DC27)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","",0.32873068509949,0.2819002350635
"Index","2019","P5D07: Umkhanyakude (DC27)","I030618: Basic chemicals [QSIC 334]","",0.0,0.0
"Index","2019","P5D07: Umkhanyakude (DC27)","I030619: Other chemical products [QSIC 335-336]","",0.22920405206114,0.27923755559562
"Index","2019","P5D07: Umkhanyakude (DC27)","I030620: Rubber products [QSIC 337]","",0.271805317837,0.34869727866344
"Index","2019","P5D07: Umkhanyakude (DC27)","I030621: Plastic products [QSIC 338]","",0.08055144122282,0.12439675863977
"Index","2019","P5D07: Umkhanyakude (DC27)","I030722: Glass and glass products [QSIC 341]","",0.00932125210386,0.00666572363458
"Index","2019","P5D07: Umkhanyakude (DC27)","I030723: Non-metallic mineral products [QSIC 342]","",0.18925412667352,0.1650542375704
"Index","2019","P5D07: Umkhanyakude (DC27)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","",0.15301990325322,0.12563595951881
"Index","2019","P5D07: Umkhanyakude (DC27)","I030825: Non-ferrous metal products [QSIC 352]","",0.17031266462284,0.3258864540855
"Index","2019","P5D07: Umkhanyakude (DC27)","I030826: Structural metal products [QSIC 354]","",0.05913894734377,0.06353295017079
"Index","2019","P5D07: Umkhanyakude (DC27)","I030827: Other fabricated metal products [QSIC 355]","",0.3381324872618,0.32102695859816
"Index","2019","P5D07: Umkhanyakude (DC27)","I030828: Machinery and equipment [QSIC 356-359]","",0.27346362593479,0.24425138305213
"Index","2019","P5D07: Umkhanyakude (DC27)","I030929: Electrical machinery [QSIC 361-366]","",0.0,0.0
"Index","2019","P5D07: Umkhanyakude (DC27)","I031030: Radio, television and communication apparatus [QSIC 371-373]","",0.67755839859119,0.5352401474296
"Index","2019","P5D07: Umkhanyakude (DC27)","I031031: Professional equipment [QSIC 374-376]","",0.0,0.0
"Index","2019","P5D07: Umkhanyakude (DC27)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","",0.09027377331135,0.1018394754401
"Index","2019","P5D07: Umkhanyakude (DC27)","I031133: Other transport equipment [QSIC 384-387]","",0.36316452704503,0.31206222277175
"Index","2019","P5D07: Umkhanyakude (DC27)","I031234: Furniture [QSIC 391]","",0.20869619379571,0.27949296101284
"Index","2019","P5D07: Umkhanyakude (DC27)","I031235: Other manufacturing groups [QSIC 392, 395]","",0.40056069198235,0.40777447730543
"Index","2019","P5D07: Umkhanyakude (DC27)","I041336: Electricity and gas [QSIC 41]","",0.5658917490733,0.47607839969154
"Index","2019","P5D07: Umkhanyakude (DC27)","I041337: Water [QSIC 42]","",1.41914450066019,2.06588267163383
"Index","2019","P5D07: Umkhanyakude (DC27)","I051438: Construction [QSIC 5]","",0.96704786472103,1.04550005508195
"Index","2019","P5D07: Umkhanyakude (DC27)","I061539: Wholesale and retail trade [QSIC 61-63]","",0.71760877163108,0.70730332364412
"Index","2019","P5D07: Umkhanyakude (DC27)","I061640: Catering and accommodation services [QSIC 64]","",1.50965727628371,1.38696677754969
"Index","2019","P5D07: Umkhanyakude (DC27)","I071741: Transport and storage [QSIC 71-74]","",0.75450944436009,1.11199284425332
"Index","2019","P5D07: Umkhanyakude (DC27)","I071842: Communication [QSIC 75]","",0.46023790047738,0.39522807189411
"Index","2019","P5D07: Umkhanyakude (DC27)","I081943: Finance and insurance [QSIC 81-82]","",0.45251915388039,0.2912233936298
"Index","2019","P5D07: Umkhanyakude (DC27)","I082044: Professional business services [QSIC 831-883]","",0.37291828616991,0.30337218246337
"Index","2019","P5D07: Umkhanyakude (DC27)","I082045: Business activities n.e.c. [QSIC 889]","",0.79756771237214,0.71917744444845
"Index","2019","P5D07: Umkhanyakude (DC27)","I092146: National and Provincial government [QSIC 911]","",1.96584903016044,1.75639085458178
"Index","2019","P5D07: Umkhanyakude (DC27)","I092147: Local government [QSIC 913]","",0.97038432624588,0.85721170390011
"Index","2019","P5D07: Umkhanyakude (DC27)","I102248: Education (Private) [QSIC 92]","",2.40778162922282,3.11796221810877
"Index","2019","P5D07: Umkhanyakude (DC27)","I102249: Health and social work (Private) [QSIC 93]","",1.59218519789901,2.11911919598099
"Index","2019","P5D07: Umkhanyakude (DC27)","I102250: Other community, social and personal services [QSIC 94-96, 99]","",1.30830285353689,1.5261960266009
"Index","2019","P5D08: King Cetshwayo (DC28)","I010101: Agriculture [QSIC 11]","",1.51116885165002,2.59868086377814
"Index","2019","P5D08: King Cetshwayo (DC28)","I010102: Forestry [QSIC 12]","",1.751133395389,4.98413833104376
"Index","2019","P5D08: King Cetshwayo (DC28)","I010103: Fishing [QSIC 13]","",1.25702574673853,0.60975057041433
"Index","2019","P5D08: King Cetshwayo (DC28)","I020204: Coal [QSIC 21]","",0.0,0.0
"Index","2019","P5D08: King Cetshwayo (DC28)","I020205: Gold [QSIC 23]","",0.0,0.0
"Index","2019","P5D08: King Cetshwayo (DC28)","I020206: Metals [QSIC 24]","",4.18096658297509,0.03574798594005
"Index","2019","P5D08: King Cetshwayo (DC28)","I020207: Other mining and quarrying [22, 25-29]","",5.78637574024075,6.00080071253797
"Index","2019","P5D08: King Cetshwayo (DC28)","I030308: Food [QSIC 301-304]","",0.82107102839894,1.13159926544917
"Index","2019","P5D08: King Cetshwayo (DC28)","I030309: Beverages and tobacco [QSIC 305-306]","",0.81605612853559,0.57583348936379
"Index","2019","P5D08: King Cetshwayo (DC28)","I030410: Textiles [QSIC 311-312]","",0.33803143245041,0.6072988889329
"Index","2019","P5D08: King Cetshwayo (DC28)","I030411: Wearing apparel [QSIC 313-315]","",0.50191270050095,1.08858289347162
"Index","2019","P5D08: King Cetshwayo (DC28)","I030412: Leather and leather products [QSIC 316]","",0.18451545099858,0.27420643972302
"Index","2019","P5D08: King Cetshwayo (DC28)","I030413: Footwear [QSIC 317]","",0.13444478215269,0.43248180780451
"Index","2019","P5D08: King Cetshwayo (DC28)","I030514: Wood and wood products [QSIC 321-322]","",1.20189539730909,1.80608259043027
"Index","2019","P5D08: King Cetshwayo (DC28)","I030515: Paper and paper products [QSIC 323]","",1.54993507869036,3.45804777377105
"Index","2019","P5D08: King Cetshwayo (DC28)","I030516: Printing , recorded media [QSIC 324-326]","",0.47272410732698,0.53509392962837
"Index","2019","P5D08: King Cetshwayo (DC28)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","",0.85079786778892,0.72959455807611
"Index","2019","P5D08: King Cetshwayo (DC28)","I030618: Basic chemicals [QSIC 334]","",1.38157099759857,1.89997037621858
"Index","2019","P5D08: King Cetshwayo (DC28)","I030619: Other chemical products [QSIC 335-336]","",0.70493631884269,0.85881856256058
"Index","2019","P5D08: King Cetshwayo (DC28)","I030620: Rubber products [QSIC 337]","",0.44641885519342,0.57270785277036
"Index","2019","P5D08: King Cetshwayo (DC28)","I030621: Plastic products [QSIC 338]","",0.42537574346123,0.65691392838256
"Index","2019","P5D08: King Cetshwayo (DC28)","I030722: Glass and glass products [QSIC 341]","",0.883522909213,0.63181635600183
"Index","2019","P5D08: King Cetshwayo (DC28)","I030723: Non-metallic mineral products [QSIC 342]","",2.21056346851234,1.92789913915965
"Index","2019","P5D08: King Cetshwayo (DC28)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","",1.79289580387104,1.47204500752974
"Index","2019","P5D08: King Cetshwayo (DC28)","I030825: Non-ferrous metal products [QSIC 352]","",6.64265160593008,12.7104474724519
"Index","2019","P5D08: King Cetshwayo (DC28)","I030826: Structural metal products [QSIC 354]","",1.60982158360946,1.72943075670255
"Index","2019","P5D08: King Cetshwayo (DC28)","I030827: Other fabricated metal products [QSIC 355]","",1.03910735928685,0.9865407429797
"Index","2019","P5D08: King Cetshwayo (DC28)","I030828: Machinery and equipment [QSIC 356-359]","",1.19708951413357,1.06921265475377
"Index","2019","P5D08: King Cetshwayo (DC28)","I030929: Electrical machinery [QSIC 361-366]","",0.49868852473177,0.39292189915147
"Index","2019","P5D08: King Cetshwayo (DC28)","I031030: Radio, television and communication apparatus [QSIC 371-373]","",0.57597320557464,0.45499249084399
"Index","2019","P5D08: King Cetshwayo (DC28)","I031031: Professional equipment [QSIC 374-376]","",0.42327223081821,0.37127881954265
"Index","2019","P5D08: King Cetshwayo (DC28)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","",0.62435870330976,0.7043503389653
"Index","2019","P5D08: King Cetshwayo (DC28)","I031133: Other transport equipment [QSIC 384-387]","",0.93589943693336,0.80420535826188
"Index","2019","P5D08: King Cetshwayo (DC28)","I031234: Furniture [QSIC 391]","",0.6511829418403,0.87208609446015
"Index","2019","P5D08: King Cetshwayo (DC28)","I031235: Other manufacturing groups [QSIC 392, 395]","",0.73813322531813,0.75142642840535
"Index","2019","P5D08: King Cetshwayo (DC28)","I041336: Electricity and gas [QSIC 41]","",0.92851879874175,0.78115248103967
"Index","2019","P5D08: King Cetshwayo (DC28)","I041337: Water [QSIC 42]","",0.97191084964258,1.41483392404048
"Index","2019","P5D08: King Cetshwayo (DC28)","I051438: Construction [QSIC 5]","",1.0607315110064,1.1467838290551
"Index","2019","P5D08: King Cetshwayo (DC28)","I061539: Wholesale and retail trade [QSIC 61-63]","",0.89598785504048,0.88312073774468
"Index","2019","P5D08: King Cetshwayo (DC28)","I061640: Catering and accommodation services [QSIC 64]","",0.79732823420291,0.73252902431211
"Index","2019","P5D08: King Cetshwayo (DC28)","I071741: Transport and storage [QSIC 71-74]","",1.14346231077755,1.68522994213333
"Index","2019","P5D08: King Cetshwayo (DC28)","I071842: Communication [QSIC 75]","",0.72562927386598,0.62313220732692
"Index","2019","P5D08: King Cetshwayo (DC28)","I081943: Finance and insurance [QSIC 81-82]","",0.6705018170753,0.43150839678098
"Index","2019","P5D08: King Cetshwayo (DC28)","I082044: Professional business services [QSIC 831-883]","",0.7770985635994,0.6321762594417
"Index","2019","P5D08: King Cetshwayo (DC28)","I082045: Business activities n.e.c. [QSIC 889]","",0.91367645369169,0.82387424519026
"Index","2019","P5D08: King Cetshwayo (DC28)","I092146: National and Provincial government [QSIC 911]","",0.92347421726177,0.82507946681352
"Index","2019","P5D08: King Cetshwayo (DC28)","I092147: Local government [QSIC 913]","",1.12693602472569,0.99550531043589
"Index","2019","P5D08: King Cetshwayo (DC28)","I102248: Education (Private) [QSIC 92]","",1.04346864603429,1.35124206224889
"Index","2019","P5D08: King Cetshwayo (DC28)","I102249: Health and social work (Private) [QSIC 93]","",0.8788407385906,1.16969325039259
"Index","2019","P5D08: King Cetshwayo (DC28)","I102250: Other community, social and personal services [QSIC 94-96, 99]","",0.93507042955222,1.09080307385751
"Index","2019","P5D09: iLembe (DC29)","I010101: Agriculture [QSIC 11]","",2.50034377566166,4.29971509509617
"Index","2019","P5D09: iLembe (DC29)","I010102: Forestry [QSIC 12]","",0.42622262120036,1.21313002737335
"Index","2019","P5D09: iLembe (DC29)","I010103: Fishing [QSIC 13]","",2.37719314598706,1.15311470788208
"Index","2019","P5D09: iLembe (DC29)","I020204: Coal [QSIC 21]","",0.0,0.0
"Index","2019","P5D09: iLembe (DC29)","I020205: Gold [QSIC 23]","",0.0,0.0
"Index","2019","P5D09: iLembe (DC29)","I020206: Metals [QSIC 24]","",0.0,0.0
"Index","2019","P5D09: iLembe (DC29)","I020207: Other mining and quarrying [22, 25-29]","",0.48739891158401,0.5054603895809
"Index","2019","P5D09: iLembe (DC29)","I030308: Food [QSIC 301-304]","",1.44789857640751,1.99549236160792
"Index","2019","P5D09: iLembe (DC29)","I030309: Beverages and tobacco [QSIC 305-306]","",0.62067714833831,0.43796826664041
"Index","2019","P5D09: iLembe (DC29)","I030410: Textiles [QSIC 311-312]","",1.38668550687502,2.49128479419762
"Index","2019","P5D09: iLembe (DC29)","I030411: Wearing apparel [QSIC 313-315]","",2.02951634682215,4.40175507606509
"Index","2019","P5D09: iLembe (DC29)","I030412: Leather and leather products [QSIC 316]","",8.45016799758603,12.5577043501752
"Index","2019","P5D09: iLembe (DC29)","I030413: Footwear [QSIC 317]","",0.11095936869616,0.35693395904398
"Index","2019","P5D09: iLembe (DC29)","I030514: Wood and wood products [QSIC 321-322]","",0.67649949820044,1.01657263092124
"Index","2019","P5D09: iLembe (DC29)","I030515: Paper and paper products [QSIC 323]","",4.2103060890954,9.39358028504863
"Index","2019","P5D09: iLembe (DC29)","I030516: Printing , recorded media [QSIC 324-326]","",0.39469215551415,0.44676667259847
"Index","2019","P5D09: iLembe (DC29)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","",0.72778933020253,0.6241096209157
"Index","2019","P5D09: iLembe (DC29)","I030618: Basic chemicals [QSIC 334]","",0.6865928657793,0.94421937618201
"Index","2019","P5D09: iLembe (DC29)","I030619: Other chemical products [QSIC 335-336]","",0.60630512784072,0.73865693176391
"Index","2019","P5D09: iLembe (DC29)","I030620: Rubber products [QSIC 337]","",0.56530715745782,0.72522888434698
"Index","2019","P5D09: iLembe (DC29)","I030621: Plastic products [QSIC 338]","",2.74625504073018,4.24108147885233
"Index","2019","P5D09: iLembe (DC29)","I030722: Glass and glass products [QSIC 341]","",0.92336140106124,0.66030527291128
"Index","2019","P5D09: iLembe (DC29)","I030723: Non-metallic mineral products [QSIC 342]","",1.40543592850949,1.22572310422779
"Index","2019","P5D09: iLembe (DC29)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","",1.34242881405423,1.10219212372853
"Index","2019","P5D09: iLembe (DC29)","I030825: Non-ferrous metal products [QSIC 352]","",0.16874151748409,0.32288012703972
"Index","2019","P5D09: iLembe (DC29)","I030826: Structural metal products [QSIC 354]","",1.42989810504064,1.53613902744635
"Index","2019","P5D09: iLembe (DC29)","I030827: Other fabricated metal products [QSIC 355]","",1.09409321059462,1.03874495664225
"Index","2019","P5D09: iLembe (DC29)","I030828: Machinery and equipment [QSIC 356-359]","",1.14338426787699,1.02124437147483
"Index","2019","P5D09: iLembe (DC29)","I030929: Electrical machinery [QSIC 361-366]","",0.79756321381983,0.62840838945711
"Index","2019","P5D09: iLembe (DC29)","I031030: Radio, television and communication apparatus [QSIC 371-373]","",0.82983036647627,0.65552803805228
"Index","2019","P5D09: iLembe (DC29)","I031031: Professional equipment [QSIC 374-376]","",0.76552203135786,0.67148774581081
"Index","2019","P5D09: iLembe (DC29)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","",1.05704763205805,1.19247454066989
"Index","2019","P5D09: iLembe (DC29)","I031133: Other transport equipment [QSIC 384-387]","",0.50260277602066,0.43187956911005
"Index","2019","P5D09: iLembe (DC29)","I031234: Furniture [QSIC 391]","",4.49946510500071,6.0258349819337
"Index","2019","P5D09: iLembe (DC29)","I031235: Other manufacturing groups [QSIC 392, 395]","",0.91443074482887,0.93089892859741
"Index","2019","P5D09: iLembe (DC29)","I041336: Electricity and gas [QSIC 41]","",0.74145304518076,0.62377615466939
"Index","2019","P5D09: iLembe (DC29)","I041337: Water [QSIC 42]","",0.99269037715035,1.44508318039391
"Index","2019","P5D09: iLembe (DC29)","I051438: Construction [QSIC 5]","",1.21527764014172,1.31386758200903
"Index","2019","P5D09: iLembe (DC29)","I061539: Wholesale and retail trade [QSIC 61-63]","",0.89002084802891,0.87723942182669
"Index","2019","P5D09: iLembe (DC29)","I061640: Catering and accommodation services [QSIC 64]","",0.99858107939254,0.91742596386948
"Index","2019","P5D09: iLembe (DC29)","I071741: Transport and storage [QSIC 71-74]","",0.69162626224162,1.01931587504862
"Index","2019","P5D09: iLembe (DC29)","I071842: Communication [QSIC 75]","",0.58432161465085,0.50178463113309
"Index","2019","P5D09: iLembe (DC29)","I081943: Finance and insurance [QSIC 81-82]","",0.5986446134885,0.3852639483287
