"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P1: Western Cape","I030412: Leather and leather products [QSIC 316]",1142.411,241.577
"R millions current prices","2019","P1: Western Cape","I030413: Footwear [QSIC 317]",1358.352,345.835
"R millions current prices","2019","P1: Western Cape","I030514: Wood and wood products [QSIC 321-322]",5132.836,1578.509
"R millions current prices","2019","P1: Western Cape","I030515: Paper and paper products [QSIC 323]",13166.449,4663.756
"R millions current prices","2019","P1: Western Cape","I030516: Printing , recorded media [QSIC 324-326]",17502.787,6125.355
"R millions current prices","2019","P1: Western Cape","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]",42840.717,9290.145
"R millions current prices","2019","P1: Western Cape","I030618: Basic chemicals [QSIC 334]",12360.348,2530.57
"R millions current prices","2019","P1: Western Cape","I030619: Other chemical products [QSIC 335-336]",15932.677,4958.092
"R millions current prices","2019","P1: Western Cape","I030620: Rubber products [QSIC 337]",2037.983,450.836
"R millions current prices","2019","P1: Western Cape","I030621: Plastic products [QSIC 338]",10130.987,2928.216
"R millions current prices","2019","P1: Western Cape","I030722: Glass and glass products [QSIC 341]",1933.757,621.543
"R millions current prices","2019","P1: Western Cape","I030723: Non-metallic mineral products [QSIC 342]",7223.988,2005.008
"R millions current prices","2019","P1: Western Cape","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",7328.028,1519.722
"R millions current prices","2019","P1: Western Cape","I030825: Non-ferrous metal products [QSIC 352]",7322.934,1132.079
"R millions current prices","2019","P1: Western Cape","I030826: Structural metal products [QSIC 354]",4838.589,1442.778
"R millions current prices","2019","P1: Western Cape","I030827: Other fabricated metal products [QSIC 355]",11259.276,3616.974
"R millions current prices","2019","P1: Western Cape","I030828: Machinery and equipment [QSIC 356-359]",19389.578,6437.94
