Energy balance created with IEA balance builder tool based on data provided by the user 11/11/25 14:10 (Version: August 2022.1).,,,,,,,,,,,,,,,,,,,,,,,,,,Hide -->,,,,,,,,,,,,,,,,<-- Hide,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,Flow name,,, ,Product name,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,UNOFFICIAL,,,,,,,,,,,,,,,,English,Pусский,CHN, ,,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,
Terajoules (TJ),,,,,,,,,,,,,,,,,,,,,,,,,,1,Thousand tonnes of oil equivalent (ktoe),Тысяч тонн нефтяного эквивалента (1000 тнэ),千吨油当量, ,English,Coal,Crude oil,"Oil
products",Natural gas,Nuclear,Hydro,"Geo-therm./
Solar/
etc.","Biofuels/
Waste",Electri-city,Heat,Total,,,,,,,,,
"SUPPLY AND
CONSUMPTION",Coal,Crude oil,"Oil
products",Natural gas,Nuclear,Hydro,"Geo-therm./
Solar/
etc.","Biofuels/
Waste",Electri-city,Heat,Total,,,,,,,,,,,,,,,2,"SUPPLY AND
CONSUMPTION","ПОСТАВКА И
ПОТРЕБЛЕНИЕ",[missing Chinese], ,Pусский,Уголь,Сырая нефть,Нефтепродукты,Природный газ,Атомная энергия,Гидроэнергия,"Геотерм./
солн./
т.д","Биотопливо/
отходы",Электричество,Тепло,Всего,,,,,,,,,
TFC,1099652.766,-,1181557.062,62351.877,-,-,-,426466.460,1275657.038,-,4045685.203,,,,,,,,,,,,,,,24,TFC,ОБЩЕЕ ПОТРЕБЛЕНИЕ,终端消费量, ,,,,,,,,,,,,,,,,,,,,,
INDUSTRY,852163.902,-,56405.807,60857.536,-,-,-,82216.040,365714.712,-,1417357.996,,,,,,,,,,,,,,,25,INDUSTRY,СЕКТОР ПРОМЫШЛЕННОСТИ,工业部门, ,,,,,,,,,,,,,,,,,,,,,
Iron and steel,146751.590,-,43.992,10429.434,-,-,-,-,60527.772,-,217752.788,,,,,,,,,,,,,,,26,Iron and steel,Черная металлургия,钢铁, ,,,,,,,,,,,,,,,,,,,,,
Chemical and petrochemical,48880.621,-,484.107,37249.794,-,-,-,-,28623.456,-,115237.978,,,,,,,,,,,,,,,27,Chemical and petrochemical,Химическая (в т.ч. нефтехимическая) промышленность,化学和石油化工, ,,,,,,,,,,,,,,,,,,,,,
Non-ferrous metals,80104.096,-,-,170.681,-,-,-,-,54245.304,-,134520.082,,,,,,,,,,,,,,,28,Non-ferrous metals,Цветная металлургия,有色金属, ,,,,,,,,,,,,,,,,,,,,,
Non-metallic minerals,19056.754,-,202.996,5223.378,-,-,-,-,7228.152,-,31711.280,,,,,,,,,,,,,,,29,Non-metallic minerals,Неметаллические минеральные продукты,非金属矿物, ,,,,,,,,,,,,,,,,,,,,,
Transport equipment,-,-,48.385,535.478,-,-,-,-,177.300,-,761.163,,,,,,,,,,,,,,,30,Transport equipment,Транспортное оборудование,交通运输设备, ,,,,,,,,,,,,,,,,,,,,,
Machinery,313.058,-,-,691.737,-,-,-,-,218.088,-,1222.883,,,,,,,,,,,,,,,31,Machinery,Машиностроение,机器设备, ,,,,,,,,,,,,,,,,,,,,,
Mining and quarrying,157582.773,-,46683.020,-,-,-,-,-,101485.224,-,305751.016,,,,,,,,,,,,,,,32,Mining and quarrying,Горнодобыв. промышленность и разраб. карьеров,采矿和采石, ,,,,,,,,,,,,,,,,,,,,,
Food and tobacco,951.191,-,1363.301,2797.663,-,-,-,-,2354.400,-,7466.554,,,,,,,,,,,,,,,33,Food and tobacco,"Пищевая промышленность, производство напитков и табачных изделий",食品和烟草, ,,,,,,,,,,,,,,,,,,,,,
"Paper, pulp and printing",3286.904,-,269.401,768.154,-,-,-,-,3846.564,-,8171.024,,,,,,,,,,,,,,,34,"Paper, pulp and printing",Целлюлозно-бумажная и полиграфическая промышленность,纸、纸浆和印刷, ,,,,,,,,,,,,,,,,,,,,,
Wood and wood products,-,-,39.345,-,-,-,-,-,977.436,-,1016.781,,,,,,,,,,,,,,,35,Wood and wood products,Производство древесины и деревянных изделий,木材和木材制品, ,,,,,,,,,,,,,,,,,,,,,
Construction,-,-,2343.183,-,-,-,-,-,754.632,-,3097.815,,,,,,,,,,,,,,,36,Construction,Строительство,建筑, ,,,,,,,,,,,,,,,,,,,,,
Textile and leather,-,-,3.317,10.643,-,-,-,-,422.100,-,436.061,,,,,,,,,,,,,,,37,Textile and leather,Текстильная и кожевенная промышленность,纺织品和皮革, ,,,,,,,,,,,,,,,,,,,,,
Non-specified,395236.915,-,4924.761,2980.572,-,-,-,82216.040,104854.284,-,590212.572,,,,,,,,,,,,,,,38,Non-specified,Неспецифицированные,未列明的产业, ,,,,,,,,,,,,,,,,,,,,,
TRANSPORT,-,-,712990.691,-,-,-,-,-,7273.764,-,720264.455,,,,,,,,,,,,,,,39,TRANSPORT,СЕКТОР ТРАНСПОРТА,交通运输部门, ,,,,,,,,,,,,,,,,,,,,,
Domestic aviation,-,-,68926.719,-,-,-,-,-,201.384,-,69128.103,,,,,,,,,,,,,,,40,Domestic aviation,Внутренний воздушный транспорт,国内航空, ,,,,,,,,,,,,,,,,,,,,,
Road,-,-,639456.882,-,-,-,-,-,235.440,-,639692.322,,,,,,,,,,,,,,,41,Road,Автоперевозки,公路, ,,,,,,,,,,,,,,,,,,,,,
